ACER,,
"Processor: Intel® Core™ Ultra 7 258V (up to 4.8 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 8 cores, 8 threads), Memory: 32GB LPDDR5x-8533 MT/s RAM, Storage: 512GB PCIe® Gen4 NVMe™ TLC SSD, Video Card: Intel® Arc™ Graphics, Display: 14"" WUXGA (1920 x 1200), touch, IPS, anti-glare, 300 nits, low power, 62.5% sRGB, Intel® Wi-Fi 7 BE201 (2x2) and Bluetooth® 5.4 wireless card, non-vPro®",,
"Windows 11 PRO x64 bits, preinstalado.
 Peso 1,47 Kg. - 5MP IR camera with HDR auto switch, temporal noise reduction, and privacy shutter",,
"HP OMNIBOOK X (14-KA0095CL) D38HLUA#ABA 14"" 3K OLED TOUCHSCREN LAPTOP SILVER",USD 2.400,STK
"Processor: Intel® Evo™ Intel® Core™ Ultra 9 386H (up to 4.9 GHz with Intel® Turbo Boost Technology, 16 cores), Memory: 32GB LPDDR5x-8533 MT/s RAM, Storage: 1TB PCIe® Gen4 NVMe™ M.2 SSD, Video Card: Integrated Intel® Graphics, Display: 14"" 3K (2880 x 1800), touchscreen, OLED, up to 120Hz, 0.2ms response time, Corning® Gorilla® Glass 3, micro-edge, Low Blue Light, SDR 500 nits display, Wi-Fi 7 (2x2) and Bluetooth® 6.0 wireless card",,
"Windows 11 Home x64 bits, preinstalado.
 Peso 1,39 Kg. - 5MP IR camera with HDR auto switch, temporal noise reduction, and privacy shutter, Integrated dual array digital microphones",,
"HP OMNIBOOK X FLIP 2-IN-1 (16-CC0033DX) 16"" 2K OLED TOUCHSCREEN LATPOP METEOR SILVER [Pad Numérico]",USD 1.850,STK
"Processor: 5 gigahertz AMD Ryzen AI 400 Series 9 465 (10-core), Memory: 32GB LPDDR5x-8533 MT/s RAM, Storage: 512GB PCIe® NVMe™ M.2 Solid State Drive, Video Card: AMD Radeon 880M, Display: 16"" Full HD+ (1920 x 1200) Oled UWVA Touch Screen Brightness: 300 nits, Wi-Fi 7 Bluetooth",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 2,10Kg. - Privacy Front-Facing Camera, Built-In Microphone",,
"HP OMNIBOOK 3 (16-BU0305DX) 16"" 2K TOUCHSCREEN LAPTOP MICA SILVER [Pad Numérico]",USD 970,STK
"Processor: 4.8 gigahertz Intel Core Ultra 5 Series 225U (12-core), Memory: 8GB DDR5 5600 megahertz RAM, Storage: 512GB PCIe 4.0 SSD, Video Card: Intel Graphics Integrated, Display: 16"" IPS LED 1920 x 1200 (WUXGA) Anti-glare Brightness: 300 nits, Wi-Fi 7 Bluetooth",,
